[2017-06-19 22:13:47,929] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
[2017-06-19 22:13:49,312] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:49,312] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:49,462] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
[2017-06-19 22:13:49,462] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
[2017-06-19 22:13:49,759] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:49,759] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:49,910] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
[2017-06-19 22:13:49,910] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (43, 59).
[2017-06-19 22:13:50,260] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:50,260] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:51,093] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (40, 62).
[2017-06-19 22:13:51,093] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (40, 62).
[2017-06-19 22:13:51,283] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:51,283] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:57,642] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 33).
[2017-06-19 22:13:57,642] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 33).
[2017-06-19 22:13:57,692] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:57,692] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:57,843] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 32).
[2017-06-19 22:13:57,843] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (41, 32).
[2017-06-19 22:13:59,801] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:13:59,801] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:14:00,859] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (42, 27).
[2017-06-19 22:14:00,859] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (42, 27).
